"kas" "lan" "time" "mean" "sd" "lower" "upper"
"1" "R" "S1" "29.9.2015" 61.25 15.5429512427123 76.7929512427123 45.7070487572877
"2" "R" "S1" "23.10.2015" 50.5 8.18535277187245 58.6853527718725 42.3146472281275
"3" "R" "S1" "15.11.2015" 54.25 16.7605688049859 71.0105688049859 37.4894311950141
"4" "R" "S1" "22.4.2016" 23 4.76095228569523 27.7609522856952 18.2390477143048
"5" "R" "S1" "12.9.2016" 17.5 1.91485421551268 19.4148542155127 15.5851457844873
"6" "R" "S2" "29.9.2015" 49.25 9.84462628374824 59.0946262837482 39.4053737162518
"7" "R" "S2" "23.10.2015" 48 5.65685424949238 53.6568542494924 42.3431457505076
"8" "R" "S2" "15.11.2015" 43 4.32049379893857 47.3204937989386 38.6795062010614
"9" "R" "S2" "22.4.2016" 26.75 1.70782512765993 28.4578251276599 25.0421748723401
"10" "R" "S2" "12.9.2016" 26.25 5.18812747209113 31.4381274720911 21.0618725279089
"11" "R" "S3" "29.9.2015" 34.5 3.41565025531987 37.9156502553199 31.0843497446801
"12" "R" "S3" "23.10.2015" 29.25 1.25830573921179 30.5083057392118 27.9916942607882
"13" "R" "S3" "15.11.2015" 31.25 3.86221007541882 35.1122100754188 27.3877899245812
"14" "R" "S3" "22.4.2016" 20.75 4.99165971062398 25.741659710624 15.758340289376
"15" "R" "S3" "12.9.2016" 16 2.94392028877595 18.9439202887759 13.0560797112241
"16" "R" "S4" "29.9.2015" 49.75 20.2216880271323 69.9716880271323 29.5283119728677
"17" "R" "S4" "23.10.2015" 45 13.589211407093 58.589211407093 31.410788592907
"18" "R" "S4" "15.11.2015" 39.75 4.57347424467075 44.3234742446707 35.1765257553293
"19" "R" "S4" "22.4.2016" 40.75 33.2001506020681 73.950150602068 7.54984939793194
"20" "R" "S4" "12.9.2016" 23.25 3.77491721763537 27.0249172176354 19.4750827823646
"21" "R" "Min" "29.9.2015" 33.75 8.46069343099804 42.210693430998 25.289306569002
"22" "R" "Min" "23.10.2015" 26.75 1.5 28.25 25.25
"23" "R" "Min" "15.11.2015" 29.25 4.3493294502333 33.5993294502333 24.9006705497667
"24" "R" "Min" "22.4.2016" 17.25 2.21735578260835 19.4673557826083 15.0326442173917
"25" "R" "Min" "12.9.2016" 15.75 1.5 17.25 14.25
"26" "R" "C" "29.9.2015" 28.5 3.69684550213647 32.1968455021365 24.8031544978635
"27" "R" "C" "23.10.2015" 25.25 2.21735578260835 27.4673557826083 23.0326442173917
"28" "R" "C" "15.11.2015" 25.75 3.09569593683445 28.8456959368345 22.6543040631655
"29" "R" "C" "22.4.2016" 17.5 2.08166599946613 19.5816659994661 15.4183340005339
"30" "R" "C" "12.9.2016" 16 2.58198889747161 18.5819888974716 13.4180111025284
"31" "KK" "S1" "29.9.2015" 53.75 16.3783393541592 70.1283393541592 37.3716606458408
"32" "KK" "S1" "23.10.2015" 55.5 19.8074060223274 75.3074060223274 35.6925939776726
"33" "KK" "S1" "15.11.2015" 50.5 4.50924975282289 55.0092497528229 45.9907502471771
"34" "KK" "S1" "22.4.2016" 22.5 3.87298334620742 26.3729833462074 18.6270166537926
"35" "KK" "S1" "12.9.2016" 33 10.4243305140746 43.4243305140746 22.5756694859254
"36" "KK" "S2" "29.9.2015" 47.5 13.3291660154215 60.8291660154215 34.1708339845785
"37" "KK" "S2" "23.10.2015" 50.25 21.8536800867344 72.1036800867344 28.3963199132656
"38" "KK" "S2" "15.11.2015" 51 23.8467328300266 74.8467328300266 27.1532671699734
"39" "KK" "S2" "22.4.2016" 28.75 7.63216876123687 36.3821687612369 21.1178312387631
"40" "KK" "S2" "12.9.2016" 23.5 1.29099444873581 24.7909944487358 22.2090055512642
"41" "KK" "S3" "29.9.2015" 39.5 10.2143689640297 49.7143689640297 29.2856310359703
"42" "KK" "S3" "23.10.2015" 34.5 14.3874945699382 48.8874945699382 20.1125054300618
"43" "KK" "S3" "15.11.2015" 33.25 12.7638813323639 46.0138813323639 20.4861186676361
"44" "KK" "S3" "22.4.2016" 19.5 5.25991127935317 24.7599112793532 14.2400887206468
"45" "KK" "S3" "12.9.2016" 24.25 4.85626742811116 29.1062674281112 19.3937325718888
"46" "KK" "S4" "29.9.2015" 50.75 20.0395442396611 70.7895442396611 30.7104557603389
"47" "KK" "S4" "23.10.2015" 47.75 14.1745076340121 61.9245076340121 33.5754923659879
"48" "KK" "S4" "15.11.2015" 44.5 12.2610494384997 56.7610494384997 32.2389505615003
"49" "KK" "S4" "22.4.2016" 27.5 12.5565388012249 40.0565388012249 14.9434611987751
"50" "KK" "S4" "12.9.2016" 35.5 20.0748598998847 55.5748598998847 15.4251401001153
"51" "KK" "Min" "29.9.2015" 26 8.24621125123532 34.2462112512353 17.7537887487647
"52" "KK" "Min" "23.10.2015" 25.75 6.9462219947249 32.6962219947249 18.8037780052751
"53" "KK" "Min" "15.11.2015" 23.25 4.27200187265877 27.5220018726588 18.9779981273412
"54" "KK" "Min" "22.4.2016" 14.25 0.957427107756338 15.2074271077563 13.2925728922437
"55" "KK" "Min" "12.9.2016" 25.25 5.31507290636732 30.5650729063673 19.9349270936327
"56" "KK" "C" "29.9.2015" 30 12.7279220613579 42.7279220613579 17.2720779386421
"57" "KK" "C" "23.10.2015" 28 13.4660065844828 41.4660065844828 14.5339934155172
"58" "KK" "C" "15.11.2015" 24.75 8.05708797684788 32.8070879768479 16.6929120231521
"59" "KK" "C" "22.4.2016" 14.75 1.25830573921179 16.0083057392118 13.4916942607882
"60" "KK" "C" "12.9.2016" 19.75 8.84590300647707 28.5959030064771 10.9040969935229
"61" "P" "S1" "29.9.2015" 52.75 9.322910847298 62.072910847298 43.427089152702
"62" "P" "S1" "23.10.2015" 50.25 7.04154339142587 57.2915433914259 43.2084566085741
"63" "P" "S1" "15.11.2015" 48.75 4.19324854180304 52.943248541803 44.556751458197
"64" "P" "S1" "22.4.2016" 24.25 0.957427107756338 25.2074271077563 23.2925728922437
"65" "P" "S1" "12.9.2016" 26.75 3.20156211871642 29.9515621187164 23.5484378812836
"66" "P" "S2" "29.9.2015" 48.75 11.146748404804 59.896748404804 37.603251595196
"67" "P" "S2" "23.10.2015" 47.5 8.2663978450915 55.7663978450915 39.2336021549085
"68" "P" "S2" "15.11.2015" 44.25 7.13559154286922 51.3855915428692 37.1144084571308
"69" "P" "S2" "22.4.2016" 31.5 14.6173412995205 46.1173412995205 16.8826587004795
"70" "P" "S2" "12.9.2016" 31 2.16024689946929 33.1602468994693 28.8397531005307
"71" "P" "S3" "29.9.2015" 32.25 6.80073525436772 39.0507352543677 25.4492647456323
"72" "P" "S3" "23.10.2015" 32.25 2.87228132326901 35.122281323269 29.377718676731
"73" "P" "S3" "15.11.2015" 28.75 2.06155281280883 30.8115528128088 26.6884471871912
"74" "P" "S3" "22.4.2016" 19 2.16024689946929 21.1602468994693 16.8397531005307
"75" "P" "S3" "12.9.2016" 23.5 3.69684550213647 27.1968455021365 19.8031544978635
"76" "P" "S4" "29.9.2015" 40.5 11.2694276695846 51.7694276695846 29.2305723304154
"77" "P" "S4" "23.10.2015" 38.5 3.78593889720018 42.2859388972002 34.7140611027998
"78" "P" "S4" "15.11.2015" 38.25 5.25198375219624 43.5019837521962 32.9980162478038
"79" "P" "S4" "22.4.2016" 23.5 2.08166599946613 25.5816659994661 21.4183340005339
"80" "P" "S4" "12.9.2016" 27.25 4.57347424467075 31.8234742446707 22.6765257553293
"81" "P" "Min" "29.9.2015" 27.25 5.56027577253743 32.8102757725374 21.6897242274626
"82" "P" "Min" "23.10.2015" 23.75 1.5 25.25 22.25
"83" "P" "Min" "15.11.2015" 25.75 4.19324854180304 29.943248541803 21.556751458197
"84" "P" "Min" "22.4.2016" 16 1.82574185835055 17.8257418583506 14.1742581416494
"85" "P" "Min" "12.9.2016" 26.75 3.77491721763537 30.5249172176354 22.9750827823646
"86" "P" "C" "29.9.2015" 26.5 4.79583152331272 31.2958315233127 21.7041684766873
"87" "P" "C" "23.10.2015" 24.5 2.88675134594813 27.3867513459481 21.6132486540519
"88" "P" "C" "15.11.2015" 24.5 2.08166599946613 26.5816659994661 22.4183340005339
"89" "P" "C" "22.4.2016" 17.75 2.98607881119482 20.7360788111948 14.7639211888052
"90" "P" "C" "12.9.2016" 19 1.82574185835055 20.8257418583506 17.1742581416494
"91" "AK" "S1" "29.9.2015" 62.5 20.2731349327133 82.7731349327133 42.2268650672867
"92" "AK" "S1" "23.10.2015" 49.25 13.0989821487524 62.3489821487524 36.1510178512476
"93" "AK" "S1" "15.11.2015" 48.5 6.45497224367903 54.954972243679 42.045027756321
"94" "AK" "S1" "22.4.2016" 29 4.96655480858378 33.9665548085838 24.0334451914162
"95" "AK" "S1" "12.9.2016" 26.5 3.69684550213647 30.1968455021365 22.8031544978635
"96" "AK" "S2" "29.9.2015" 51.25 12.3119183449751 63.5619183449751 38.9380816550249
"97" "AK" "S2" "23.10.2015" 62.5 25.0931597585212 87.5931597585212 37.4068402414788
"98" "AK" "S2" "15.11.2015" 48.25 8.53912563829967 56.7891256382997 39.7108743617003
"99" "AK" "S2" "22.4.2016" 32.75 6.9462219947249 39.6962219947249 25.8037780052751
"100" "AK" "S2" "12.9.2016" 27.25 13.6228973912796 40.8728973912796 13.6271026087204
"101" "AK" "S3" "29.9.2015" 41.75 11.5289490703475 53.2789490703475 30.2210509296525
"102" "AK" "S3" "23.10.2015" 37.75 10.8742815854658 48.6242815854658 26.8757184145342
"103" "AK" "S3" "15.11.2015" 40.5 17.9350680697528 58.4350680697528 22.5649319302472
"104" "AK" "S3" "22.4.2016" 25.25 4.99165971062398 30.241659710624 20.258340289376
"105" "AK" "S3" "12.9.2016" 31.75 9.9121138007995 41.6621138007995 21.8378861992005
"106" "AK" "S4" "29.9.2015" 58 14.3527000944073 72.3527000944073 43.6472999055927
"107" "AK" "S4" "23.10.2015" 43 8.20568908339411 51.2056890833941 34.7943109166059
"108" "AK" "S4" "15.11.2015" 45.75 17.8955301681733 63.6455301681733 27.8544698318267
"109" "AK" "S4" "22.4.2016" 33.25 15.1739909054935 48.4239909054935 18.0760090945065
"110" "AK" "S4" "12.9.2016" 40 17.2626765016321 57.2626765016321 22.7373234983679
"111" "AK" "Min" "29.9.2015" 34.25 17.7834192437787 52.0334192437787 16.4665807562213
"112" "AK" "Min" "23.10.2015" 28 8.16496580927726 36.1649658092773 19.8350341907227
"113" "AK" "Min" "15.11.2015" 26.75 7.8049129826454 34.5549129826454 18.9450870173546
"114" "AK" "Min" "22.4.2016" 19 4.89897948556636 23.8989794855664 14.1010205144336
"115" "AK" "Min" "12.9.2016" 24 5.09901951359278 29.0990195135928 18.9009804864072
"116" "AK" "C" "29.9.2015" 39.75 21.868927728629 61.618927728629 17.881072271371
"117" "AK" "C" "23.10.2015" 35.25 14.0801278403287 49.3301278403287 21.1698721596713
"118" "AK" "C" "15.11.2015" 37.25 21.7313138121007 58.9813138121007 15.5186861878993
"119" "AK" "C" "22.4.2016" 23.25 13.2759180473518 36.5259180473518 9.97408195264825
"120" "AK" "C" "12.9.2016" 22.75 12.3119183449751 35.0619183449751 10.4380816550249
